source,target,relation
Certified Specialist In Software Testing,Noisrev,has_module
Certified Specialist In Software Testing,Ce Rtified Specialist In,has_module
Certified Specialist In Software Testing,Software Testing,has_module
Certified Specialist In Software Testing,Engineering Or Science Graduates,has_module
Certified Specialist In Software Testing,/ Three,has_module
Certified Specialist In Software Testing,Year Diploma In Any,has_module
Certified Specialist In Software Testing,Engineering Branches,has_module
Certified Specialist In Software Testing,Having A,has_module
Certified Specialist In Software Testing,Foundation Level Knowledge (Plus,has_module
Certified Specialist In Software Testing,Two Equivalent) In Mathematics,has_module
Certified Specialist In Software Testing,And Computer Fundamental,has_module
Certified Specialist In Software Testing,Skills.,has_module
Certified Specialist In Software Testing,Students Who Have Completed,has_module
Certified Specialist In Software Testing,Their Graduation But Are Awaiting,has_module
Certified Specialist In Software Testing,The Final Results Can Also Apply.,has_module
Certified Specialist In Software Testing,*Please Note That The Ict Academy Of Kerala Will Have,has_module
Certified Specialist In Software Testing,The Ict Academy Of Kerala (Ictak) Is A Not,has_module
Certified Specialist In Software Testing,The Right To Cancel The Candidature At Any Point If Found,has_module
Certified Specialist In Software Testing,For,has_module
Certified Specialist In Software Testing,Profit Organization Formed By The Ineligible.,has_module
Certified Specialist In Software Testing,Government Of India,has_module
Certified Specialist In Software Testing,The Government Of,has_module
Certified Specialist In Software Testing,Kerala,has_module
Certified Specialist In Software Testing,And Leading It Industry Players Like,has_module
Certified Specialist In Software Testing,Tcs,has_module
Certified Specialist In Software Testing,Ust,has_module
Certified Specialist In Software Testing,Ibs,has_module
Certified Specialist In Software Testing,And Quest Global. Ictak Offers,has_module
Certified Specialist In Software Testing,Various Ict And Life Skills Programs Such As,has_module
Certified Specialist In Software Testing,Microsoft,has_module
Certified Specialist In Software Testing,Java,has_module
Certified Specialist In Software Testing,Devops,has_module
Certified Specialist In Software Testing,Cyber Security,has_module
Certified Specialist In Software Testing,Artificial Intelligence/Machine Learning,has_module
Certified Specialist In Software Testing,And,has_module
Certified Specialist In Software Testing,So On. Recognized By The Government Of,has_module
Certified Specialist In Software Testing,Kerala'S Department Of Electronics & It,has_module
Certified Specialist In Software Testing,Ictak Provides Comprehensive Training With,has_module
Certified Specialist In Software Testing,Capstone Projects And Internships To,has_module
Certified Specialist In Software Testing,Prepare The Next Generation Of Ict,has_module
Certified Specialist In Software Testing,Professionals. In The 2023,has_module
Certified Specialist In Software Testing,Period,has_module
Certified Specialist In Software Testing,It,has_module
Certified Specialist In Software Testing,Expanded Its Partner Network To 282,has_module
Certified Specialist In Software Testing,Academic Institutions,has_module
Certified Specialist In Software Testing,Impacting Over 12,has_module
Certified Specialist In Software Testing,000,has_module
Certified Specialist In Software Testing,Students And 600 Faculties. With 182,has_module
Certified Specialist In Software Testing,Corporate Partners,has_module
Certified Specialist In Software Testing,Ictak Organizes Events,has_module
Certified Specialist In Software Testing,Hackathons,has_module
Certified Specialist In Software Testing,And Conferences To Develop New,has_module
Certified Specialist In Software Testing,Ict Courses And Promote Digital Literacy.,has_module
Certified Specialist In Software Testing,Through Partnerships With The Government,has_module
Certified Specialist In Software Testing,It Focuses On Capacity Building And Project,has_module
Certified Specialist In Software Testing,Execution. Over The Last Decade,has_module
Certified Specialist In Software Testing,Ictak Has,has_module
Certified Specialist In Software Testing,Trained 1,has_module
Certified Specialist In Software Testing,20,has_module
Certified Specialist In Software Testing,Participants And Received,has_module
Certified Specialist In Software Testing,National Recognition For Its Innovative,has_module
Certified Specialist In Software Testing,Training Practices From The Indian Society For,has_module
Certified Specialist In Software Testing,Training & Development (Istd).,has_module
Digital Marketing With Ai,Acquire A Solid Grasp Of Fundamental Introduction To Digital Marketing,has_module
Digital Marketing With Ai,Digital Marketing Principles And Content Marketing,has_module
Digital Marketing With Ai,Techniques. Social Media Marketing,has_module
Digital Marketing With Ai,Master The Execution Of Diverse Digital Email Marketing,has_module
Digital Marketing With Ai,Marketing Methods,has_module
Digital Marketing With Ai,Encompassing Seo,has_module
Digital Marketing With Ai,Search Engine Optimization,has_module
Digital Marketing With Ai,Social Media Marketing,has_module
Digital Marketing With Ai,Email Marketing,has_module
Digital Marketing With Ai,Branding And Marketing,has_module
Digital Marketing With Ai,And Content Marketing. Optimization,has_module
Digital Marketing With Ai,Obtain Practical Proficiency In Scrutinizing Introduction To Ai And Chatgpt,has_module
Digital Marketing With Ai,Digital Marketing Data And Refining Ai And Chatgpt For Content,has_module
Digital Marketing With Ai,Campaigns For Enhanced Results. Marketing,has_module
Digital Marketing With Ai,Hone The Ability To Craft And Implement Ai And Chatgpt For Social Media,has_module
Digital Marketing With Ai,Impactful Digital Marketing Strategies Marketing,has_module
Digital Marketing With Ai,Across A Range Of Online Platforms And Ai And Chatgpt For Email Marketing,has_module
Digital Marketing With Ai,Channels. Ai And Chatgpt For Seo,has_module
Digital Marketing With Ai,Ai And Chatgpt For Branding,has_module
Digital Marketing With Ai,Any Graduate Or Three,has_module
Digital Marketing With Ai,Year,has_module
Digital Marketing With Ai,Diploma Holder,has_module
Digital Marketing With Ai,Final Year Students Or Those,has_module
Digital Marketing With Ai,Awaiting Results,has_module
Digital Marketing With Ai,Proficiency In Basic Computer,has_module
Digital Marketing With Ai,Skills And A Presence On Social,has_module
Digital Marketing With Ai,Media,has_module
Digital Marketing With Ai,Genuine Interest In Digital,has_module
Digital Marketing With Ai,Marketing And The Motivation To,has_module
Digital Marketing With Ai,Learn And Apply New Skills,has_module
Digital Marketing With Ai,The Ict Academy Of Kerala (Ictak) Is A Not,has_module
Digital Marketing With Ai,*Please Note That The Ict Academy Of Kerala Will Have The,has_module
Digital Marketing With Ai,Right To Cancel The Candidature At Any Point If Found,has_module
Digital Marketing With Ai,For,has_module
Digital Marketing With Ai,Profit Organization Formed By The,has_module
Digital Marketing With Ai,Ineligible.,has_module
Digital Marketing With Ai,Government Of India,has_module
Digital Marketing With Ai,The Government Of,has_module
Digital Marketing With Ai,Kerala,has_module
Digital Marketing With Ai,And Leading It Industry Players Like,has_module
Digital Marketing With Ai,Tcs,has_module
Digital Marketing With Ai,Ust,has_module
Digital Marketing With Ai,Ibs,has_module
Digital Marketing With Ai,And Quest Global. Ictak Offers,has_module
Digital Marketing With Ai,Various Ict And Life Skills Programs Such As,has_module
Digital Marketing With Ai,Microsoft,has_module
Digital Marketing With Ai,Java,has_module
Digital Marketing With Ai,Devops,has_module
Digital Marketing With Ai,Cyber Security,has_module
Digital Marketing With Ai,Artificial Intelligence/Machine Learning,has_module
Digital Marketing With Ai,And,has_module
Digital Marketing With Ai,So On. Recognized By The Government Of,has_module
Digital Marketing With Ai,Kerala'S Department Of Electronics & It,has_module
Digital Marketing With Ai,Ictak Provides Comprehensive Training With,has_module
Digital Marketing With Ai,Capstone Projects And Internships To,has_module
Digital Marketing With Ai,Prepare The Next Generation Of Ict,has_module
Digital Marketing With Ai,Professionals. In The 2023,has_module
Digital Marketing With Ai,Period,has_module
Digital Marketing With Ai,It,has_module
Digital Marketing With Ai,Expanded Its Partner Network To 282,has_module
Digital Marketing With Ai,Academic Institutions,has_module
Digital Marketing With Ai,Impacting Over 12,has_module
Digital Marketing With Ai,000,has_module
Digital Marketing With Ai,Students And 600 Faculties. With 182,has_module
Digital Marketing With Ai,Corporate Partners,has_module
Digital Marketing With Ai,Ictak Organizes Events,has_module
Digital Marketing With Ai,Hackathons,has_module
Digital Marketing With Ai,And Conferences To Develop,has_module
Digital Marketing With Ai,New Ict Courses And Promote Digital Literacy.,has_module
Digital Marketing With Ai,Through Partnerships With The Government,has_module
Digital Marketing With Ai,It Focuses On Capacity Building And Project,has_module
Digital Marketing With Ai,Execution. Over The Last Decade,has_module
Digital Marketing With Ai,Ictak Has,has_module
Digital Marketing With Ai,Trained 1,has_module
Digital Marketing With Ai,20,has_module
Digital Marketing With Ai,Participants And Received,has_module
Digital Marketing With Ai,National Recognition For Its Innovative,has_module
Digital Marketing With Ai,Training Practices From The Indian Society For,has_module
Digital Marketing With Ai,Training & Development (Istd).,has_module
Digital Marketing With Ai,G1,has_module
Digital Marketing With Ai,Ground Floor,has_module
Digital Marketing With Ai,Thejaswini Building,has_module
Digital Marketing With Ai,Technopark Campus,has_module
Digital Marketing With Ai,Thiruvananthapuram,has_module
Digital Marketing With Ai,+91 75 940 51437 | 471 270 0811,has_module
Digital Marketing With Ai,Info@Ictkerala.Org | Https://Ictkerala.Org,has_module
Digital Marketing With Ai,Noisrev,has_module
Digital Marketing With Ai,Mastering Digital,has_module
Digital Marketing With Ai,Marketing With Ai,has_module
Devops With Azure,Introduction To Devops,has_module
Devops With Azure,Version Control With Azure Repos,has_module
Devops With Azure,Continuous Integration With Azure Pipelines,has_module
Devops With Azure,Infrastructure As Code With Azure Resource,has_module
Devops With Azure,Manager,has_module
Devops With Azure,Case Study,has_module
Devops With Azure,Containerization With Docker And Kubernetes,has_module
Devops With Azure,Monitoring And Logging With Azure Monitor,has_module
Devops With Azure,Configuration Management With Azure,has_module
Devops With Azure,Automation,has_module
Devops With Azure,Security And Compliance With Azure Security,has_module
Devops With Azure,Center,has_module
Devops With Azure,Performance Testing With Azure Devtest,has_module
Devops With Azure,Designathon Orientation,has_module
Devops With Azure,G1,has_module
Devops With Azure,Ground Floor,has_module
Devops With Azure,Thejaswini Building,has_module
Devops With Azure,Technopark Campus,has_module
Devops With Azure,Thiruvananthapuram,has_module
Devops With Azure,+91 75 940 51437 | 471 270 0811,has_module
Devops With Azure,Info@Ictkerala.Org | Https://Ictkerala.Org,has_module
Devops With Azure,Noisrev,has_module
Devops With Azure,Devops,has_module
Devops With Azure,With Azure,has_module
Devops With Azure,Engineering Or Science,has_module
Devops With Azure,Graduates/ Three,has_module
Devops With Azure,Year Diploma,has_module
Devops With Azure,Holders In Any Engineering,has_module
Devops With Azure,Branches,has_module
Devops With Azure,Final Year/Pre,has_module
Devops With Azure,Final Year Students,has_module
Devops With Azure,Of The Above Courses,has_module
Devops With Azure,Foundation Level Knowledge (Plus,has_module
Devops With Azure,Two Equivalent) In Mathematics,has_module
Devops With Azure,And Computer Fundamental Skills,has_module
Devops With Azure,Students Who Have Completed,has_module
Devops With Azure,The Ict Academy Of Kerala (Ictak) Is A Not,has_module
Devops With Azure,Graduation But Are Awaiting Final,has_module
Devops With Azure,For,has_module
Devops With Azure,Profit Organization Formed By The Results,has_module
Devops With Azure,Government Of India,has_module
Devops With Azure,The Government Of *Please Note That The Ict Academy Of Kerala Will Have The,has_module
Devops With Azure,Kerala,has_module
Devops With Azure,Tcs,has_module
Devops With Azure,Ust,has_module
Devops With Azure,Ibs,has_module
Devops With Azure,And Quest Global. Ictak Offers Ineligible.,has_module
Devops With Azure,Various Ict And Life Skills Programs Such As,has_module
Devops With Azure,Microsoft,has_module
Devops With Azure,Java,has_module
Devops With Azure,Cyber Security,has_module
Devops With Azure,Artificial Intelligence/Machine Learning,has_module
Devops With Azure,And,has_module
Devops With Azure,So On. Recognized By The Government Of,has_module
Devops With Azure,Kerala'S Department Of Electronics & It,has_module
Devops With Azure,Ictak Provides Comprehensive Training With,has_module
Devops With Azure,Capstone Projects And Internships To,has_module
Devops With Azure,Prepare The Next Generation Of Ict,has_module
Devops With Azure,Professionals. In The 2023,has_module
Devops With Azure,Period,has_module
Devops With Azure,It,has_module
Devops With Azure,Expanded Its Partner Network To 282,has_module
Devops With Azure,Academic Institutions,has_module
Devops With Azure,Impacting Over 12,has_module
Devops With Azure,000,has_module
Devops With Azure,Students And 600 Faculties. With 182,has_module
Devops With Azure,Corporate Partners,has_module
Devops With Azure,Ictak Organizes Events,has_module
Devops With Azure,Hackathons,has_module
Devops With Azure,And Conferences To Develop,has_module
Devops With Azure,New Ict Courses And Promote Digital Literacy.,has_module
Devops With Azure,Through Partnerships With The Government,has_module
Devops With Azure,It Focuses On Capacity Building And Project,has_module
Devops With Azure,Execution. Over The Last Decade,has_module
Devops With Azure,Ictak Has,has_module
Devops With Azure,Trained 1,has_module
Devops With Azure,20,has_module
Devops With Azure,Participants And Received,has_module
Devops With Azure,National Recognition For Its Innovative,has_module
Devops With Azure,Training Practices From The Indian Society For,has_module
Devops With Azure,Training & Development (Istd).,has_module
Adarshin B Suresh,Certified Specialist In Data Science & Analytics,teaches
Adarshin B Suresh,Essential Skill Program Python Programming,teaches
Adarshin B Suresh,Certified Specialist In Artificial Intelligence & Machine Learning,teaches
Adarshin B Suresh,Data Science,skilled_in
Adarshin B Suresh,Python,skilled_in
Adhin V S,Certified Specialist In Data Science & Analytics,teaches
Adhin V S,Industry Readiness Program Certified Cyber Security Analyst,teaches
Adhin V S,Certified Specialist In Sdet,teaches
Adhin V S,Essential Skill Program Python Programming,teaches
Adhin V S,Certified Specialist In Full Stack Development (Mern),teaches
Adhin V S,Certified Specialist In Artificial Intelligence & Machine Learning,teaches
Adhin V S,Essential Skill Program Business Intelligence With Power Bi,teaches
Adhin V S,Certified Specialist In Software Testing,teaches
Adhin V S,Azure,skilled_in
Adhin V S,Cyber Security,skilled_in
Adhin V S,Deep Learning,skilled_in
Adhin V S,Git,skilled_in
Alan Jolly,Industry Readiness Program Certified Cyber Security Analyst,teaches
Alan Jolly,Certified Specialist In Software Testing,teaches
Alan Jolly,Cyber Security,skilled_in
Anitha B,Certified Specialist In Data Science & Analytics,teaches
Anitha B,Certified Specialist In Sdet Modes About The Program The Software Development Engineer Online Offline In Test (Sdet),teaches
Anitha B,Essential Skill Program Python Program,teaches
Anitha B,Certified Specialist In Full Stack Development (Mern),teaches
Anitha B,Certified Specialist In Artificial Intelligence & Machine Learning,teaches
Anitha B,Certified Specialist In Software Testing,teaches
Anitha B,Azure,skilled_in
Anitha B,Data Science,skilled_in
Anitha B,Machine Learning,skilled_in
Anitha B,Python,skilled_in
Anitha B,Sql,skilled_in
Deepasree Varma,Certified Specialist In Data Science & Analytics,teaches
Deepasree Varma,Certified Specialist In Artificial Intelligence & Machine,teaches
Deepasree Varma,Certified Specialist In Software Testing,teaches
Deepasree Varma,Data Science,skilled_in
Deepasree Varma,Deep Learning,skilled_in
Deepasree Varma,Machine Learning,skilled_in
Gopu Darsan,Certified Specialist In Data Science & Analytics,teaches
Gopu Darsan,Industry Readiness Program Certified Cyber Security Analyst,teaches
Gopu Darsan,Certified Specialist In Sdet,teaches
Gopu Darsan,Essential Skill Program Python Programming,teaches
Gopu Darsan,Certified Specialist In Full Stack Development (Mern),teaches
Gopu Darsan,Certified Specialist In Artificial Intelligence & Machine Learning,teaches
Gopu Darsan,Essential Skill Program Business Intelligence With Power Bi,teaches
Gopu Darsan,Certified Specialist In Software Testing,teaches
Gopu Darsan,Industry Readiness Program Certified Specialist In Full Stack Development (Mern),teaches
Gopu Darsan,Aws,skilled_in
Gopu Darsan,Cloud,skilled_in
Gopu Darsan,Css,skilled_in
Gopu Darsan,Docker,skilled_in
Gopu Darsan,Git,skilled_in
Gopu Darsan,Html,skilled_in
Gopu Darsan,Java,skilled_in
Gopu Darsan,Linux,skilled_in
Gopu Darsan,Python,skilled_in
Gopu Darsan,Selenium,skilled_in
Hareesh Rajendran,Certified Specialist In Data Science & Analytics,teaches
Hareesh Rajendran,Industry Readiness Program Certified Cyber Security Analyst,teaches
Hareesh Rajendran,Certified Specialist In Sdet,teaches
Hareesh Rajendran,Essential Skill Program Python Programming,teaches
Hareesh Rajendran,Certified Specialist In Full Stack Development (Mern),teaches
Hareesh Rajendran,Certified Specialist In Artificial Intelligence & Machine Learning,teaches
Hareesh Rajendran,Certified Specialist In Software Testing,teaches
Hareesh Rajendran,Industry Readiness Program Certified Specialist In Full Stack Development (Mern),teaches
Hareesh Rajendran,Css,skilled_in
Hareesh Rajendran,Cyber Security,skilled_in
Hareesh Rajendran,Html,skilled_in
Hareesh Rajendran,Java,skilled_in
Hareesh Rajendran,Javascript,skilled_in
Hareesh Rajendran,Linux,skilled_in
Hareesh Rajendran,Python,skilled_in
Hareesh Rajendran,Sql,skilled_in
Harini A,Certified Specialist In Data Science & Analytics,teaches
Harini A,Essential Skill Program Python Programming,teaches
Harini A,Certified Specialist In Full Stack Development (Mern),teaches
Harini A,Certified Specialist In Artificial Intelligence & Machine Learning,teaches
Harini A,Industry Readiness Program Certified Specialist In Full Stack Development (Mern),teaches
Harini A,Express,skilled_in
Harini A,Mongodb,skilled_in
Harini A,Node,skilled_in
Harini A,Python,skilled_in
Harini A,React,skilled_in
Jishnu Unni C,Certified Specialist In Data Science & Analytics,teaches
Jishnu Unni C,Certified Specialist In Artificial Intelligence & Machine Learning,teaches
Jishnu Unni C,Data Science,skilled_in
Jishnu Unni C,Nlp,skilled_in
John J Padamadan,Certified Specialist In Data Science & Analytics,teaches
John J Padamadan,Essential Skill Program Python Programming,teaches
John J Padamadan,Certified Specialist In Artificial Intelligence & Machine Learning,teaches
John J Padamadan,Certified Specialist In Software Testing,teaches
John J Padamadan,Data Science,skilled_in
John J Padamadan,Deep Learning,skilled_in
John J Padamadan,Machine Learning,skilled_in
John J Padamadan,Python,skilled_in
Manoj Cm,Certified Specialist In Data Science & Analytics,teaches
Manoj Cm,Industry Readiness Program Certified Cyber Security Analyst,teaches
Manoj Cm,Essential Skill Program Python Programming,teaches
Manoj Cm,Certified Specialist In Artificial Intelligence & Machine Learning,teaches
Manoj Cm,Certified Specialist In Software Testing,teaches
Manoj Cm,Burp Suite,skilled_in
Manoj Cm,Cyber Security,skilled_in
Manoj Cm,Penetration Testing,skilled_in
Manoj Cm,Python,skilled_in
Maya Mohan,Certified Specialist In Data Science & Analytics,teaches
Maya Mohan,Essential Skill Program Python Programming,teaches
Maya Mohan,Certified Specialist In Artificial Intelligence & Machine Learning,teaches
Maya Mohan,Certified Specialist In Software Testing,teaches
Maya Mohan,Data Science,skilled_in
Maya Mohan,Machine Learning,skilled_in
Maya Mohan,Python,skilled_in
Mridula Reghunath,Certified Specialist In Data Science & Analytics,teaches
Mridula Reghunath,Certified Specialist In Sdet,teaches
Mridula Reghunath,Essential Skill Program Python Programming,teaches
Mridula Reghunath,Certified Specialist In Full Stack Development (Mern),teaches
Mridula Reghunath,Certified Specialist In Artificial Intelligence & Machine Learning,teaches
Mridula Reghunath,Data Science,skilled_in
Mridula Reghunath,Deep Learning,skilled_in
Mridula Reghunath,Python,skilled_in
Mridula Reghunath,Sql,skilled_in
Remya U.L,Certified Specialist In Data Science & Analytics,teaches
Remya U.L,Industry Readiness Program Certified Cyber Security Analyst,teaches
Remya U.L,Certified Specialist In Sdet,teaches
Remya U.L,Essential Skill Program Python Programming,teaches
Remya U.L,Certified Specialist In Full Stack Development (Mern),teaches
Remya U.L,Certified Specialist In Artificial Intelligence & Machine Learning,teaches
Remya U.L,Essential Skill Program Business Intelligence With Power Bi,teaches
Remya U.L,Certified Specialist In Software Testing,teaches
Remya U.L,Industry Readiness Program Certified Specialist In Full Stack Development (Mern),teaches
Remya U.L,Cloud,skilled_in
Remya U.L,Data Science,skilled_in
Remya U.L,Docker,skilled_in
Remya U.L,Git,skilled_in
Remya U.L,Github,skilled_in
Remya U.L,Java,skilled_in
Remya U.L,Javascript,skilled_in
Remya U.L,Machine Learning,skilled_in
Remya U.L,Python,skilled_in
Remya U.L,Selenium,skilled_in
Remya U.L,Sql,skilled_in
Riji N Das,Industry Readiness Program Certified Cyber Security Analyst,teaches
Riji N Das,Certified Specialist In Sdet,teaches
Riji N Das,Essential Skill Program Python Programming,teaches
Riji N Das,Certified Specialist In Full Stack Development (Mern),teaches
Riji N Das,Essential Skill Program Business Intelligence With Power Bi,teaches
Riji N Das,Certified Specialist In Software Testing,teaches
Riji N Das,Git,skilled_in
Sajil C K,Certified Specialist In Data Science & Analytics,teaches
Sajil C K,Essential Skill Program Python Programming,teaches
Sajil C K,Essential Skill Program Business Intelligence With Power Bi,teaches
Sajil C K,Certified Specialist In Artificial Intelligence & Machine Learning,teaches
Sajil C K,Certified Specialist In Software Testing,teaches
Sajil C K,Data Science,skilled_in
Sajil C K,Machine Learning,skilled_in
Sajil C K,Power Bi,skilled_in
Sajil C K,Python,skilled_in
Tiya Reba Stephen,Certified Specialist In Sdet,teaches
Tiya Reba Stephen,Certified Specialist In Full Stack Development (Mern),teaches
Tiya Reba Stephen,Certified Specialist In Software Testing,teaches
Tiya Reba Stephen,Industry Readiness Program Certified Specialist In Full Stack Development (Mern),teaches
Tiya Reba Stephen,Azure,skilled_in
Tiya Reba Stephen,Bootstrap,skilled_in
Tiya Reba Stephen,Java,skilled_in
Tiya Reba Stephen,Javascript,skilled_in
Tiya Reba Stephen,Mongodb,skilled_in
Tiya Reba Stephen,Node,skilled_in
Tiya Reba Stephen,React,skilled_in
Tiya Reba Stephen,Reactjs,skilled_in
Aarav Krishna,Certified Specialist In Full Stack Development (Mern),enrolled_in
Ananya Raj,Certified Cyber Security Analyst,enrolled_in
Diya Manoj,Essential Skill Program – Python Programming,enrolled_in
Adwaith S,Certified Specialist In Software Testing,enrolled_in
Joel Mathew,Industry Readiness Program – Data Science,enrolled_in
Sneha Balan,Certified Specialist In Full Stack Development (Mern),enrolled_in
Rahul Dev,Certified Cyber Security Analyst,enrolled_in
Mariya James,Essential Skill Program – Cloud Foundation,enrolled_in
Abin Thomas,Industry Readiness Program – Ai/Ml,enrolled_in
Haritha Mk,Certified Specialist In Software Testing,enrolled_in
Akhil Raj,Certified Specialist In Full Stack Development (Mern),enrolled_in
Sandra Joseph,Certified Cyber Security Analyst,enrolled_in
Vishnu S,Essential Skill Program – Python Programming,enrolled_in
Amala B,Certified Specialist In Software Testing,enrolled_in
Clara Mathew,Industry Readiness Program – Data Science,enrolled_in
Nihal Kp,Industry Readiness Program – Ai/Ml,enrolled_in
Reshma Nair,Essential Skill Program – Cloud Foundation,enrolled_in
Sachin Manoj,Certified Specialist In Full Stack Development (Mern),enrolled_in
Alka Susan,Certified Cyber Security Analyst,enrolled_in
Deepak Lal,Certified Specialist In Software Testing,enrolled_in
Meera George,Certified Specialist In Full Stack Development (Mern),enrolled_in
Kevin K Varghese,Industry Readiness Program – Data Science,enrolled_in
Nayana S,Certified Cyber Security Analyst,enrolled_in
Anoop Raj,Essential Skill Program – Python Programming,enrolled_in
Hiba Fathima,Certified Specialist In Software Testing,enrolled_in
Roshan P P,Industry Readiness Program – Ai/Ml,enrolled_in
Albin Sunny,Essential Skill Program – Cloud Foundation,enrolled_in
Kripa Manoj,Certified Specialist In Full Stack Development (Mern),enrolled_in
Ajesh T,Certified Cyber Security Analyst,enrolled_in
Neha Liza,Certified Specialist In Software Testing,enrolled_in
Sarath Surendran,Industry Readiness Program – Data Science,enrolled_in
Jitha S,Essential Skill Program – Python Programming,enrolled_in
Varun Dileep,Certified Specialist In Full Stack Development (Mern),enrolled_in
Anju Mariam,Certified Cyber Security Analyst,enrolled_in
Joel Babu,Certified Specialist In Software Testing,enrolled_in
Alphonsa Baby,Industry Readiness Program – Ai/Ml,enrolled_in
Abhiram R,Essential Skill Program – Cloud Foundation,enrolled_in
Christy Ann,Certified Specialist In Full Stack Development (Mern),enrolled_in
Sidharth P,Certified Cyber Security Analyst,enrolled_in
Lisha Sherin,Industry Readiness Program – Data Science,enrolled_in
Aarya Menon,Essential Skill Program – Python Programming,enrolled_in
Nelson Mathew,Certified Specialist In Software Testing,enrolled_in
Hari Krishnan,Certified Cyber Security Analyst,enrolled_in
Feba Francis,Industry Readiness Program – Ai/Ml,enrolled_in
Shilpa Thomas,Certified Specialist In Full Stack Development (Mern),enrolled_in
Joswin Alex,Essential Skill Program – Cloud Foundation,enrolled_in
Ameena Khader,Industry Readiness Program – Data Science,enrolled_in
Saranya R,Certified Specialist In Software Testing,enrolled_in
Renny George,Certified Cyber Security Analyst,enrolled_in
Neeraj Lal,Certified Specialist In Full Stack Development (Mern),enrolled_in
